-------------------------当前TTI1----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    5.7      0.057
2   69.6419    5.6      0.056
3   37.108    4.5      0.045
4   86.2844    4.1      0.041
5   69.2315    4.5      0.045
6   91.6788    3.7      0.037
7   72.2496    4.7      0.047
8   52.469    5.7      0.057
9   94.8472    1      0.01
10   51.1957    4.2      0.042
11   33.6155    3.5      0.035
12   83.9345    4.1      0.041
13   66.7533    6.5      0.065
14   33.2415    1.4      0.014
-------------------------当前TTI2----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    12.33      0.129
2   69.6419    11.14      0.117
3   37.108    10.55      0.11
5   69.2315    11.35      0.118
7   72.2496    9.73      0.102
8   52.469    12.13      0.127
10   51.1957    8.78      0.092
11   33.6155    9.15      0.095
13   66.7533    11.15      0.118
14   33.2415    4.76      0.049
-------------------------当前TTI3----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    17.797      0.196
2   69.6419    15.526      0.172
3   37.108    17.095      0.186
5   69.2315    16.615      0.182
7   72.2496    13.857      0.153
8   52.469    19.317      0.211
10   51.1957    12.402      0.137
11   33.6155    13.335      0.146
13   66.7533    16.635      0.184
14   33.2415    7.884      0.085
-------------------------当前TTI4----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    23.5173      0.271
2   69.6419    19.3734      0.226
3   37.108    22.2855      0.255
5   69.2315    19.1535      0.224
7   72.2496    19.4713      0.223
8   52.469    26.0853      0.298
10   51.1957    15.8618      0.184
11   33.6155    17.2015      0.198
13   66.7533    18.9715      0.224
14   33.2415    12.9956      0.144
-------------------------当前TTI5----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    27.3656      0.333
2   69.6419    25.8361      0.31
3   37.108    25.357      0.308
5   69.2315    23.5382      0.287
7   72.2496    24.1242      0.289
8   52.469    30.3768      0.367
10   51.1957    19.4756      0.236
11   33.6155    20.9813      0.253
13   66.7533    21.3744      0.267
14   33.2415    16.496      0.192
-------------------------当前TTI6----------------------------------
