-------------------------当前TTI0----------------------------------
Id 距离     平均吞吐量     总比特数      速度      优先级
1   28.7767    0      0      57      5700
2   48.7494    0      0      56      5600
3   25.9756    0      0      45      4500
4   60.3991    0      0      42      4200
5   48.462    0      0      45      4500
6   64.1752    0      0      37      3700
7   50.5747    0      0      47      4700
8   36.7283    0      0      57      5700
9   66.3931    0      0      52      5200
10   35.837    0      0      42      4200
11   23.5308    0      0      35      3500
12   58.7541    0      0      41      4100
13   46.7273    6.5      0.065      65      0
14   23.2691    0      0      40      4000
15   45.192    0      0      53      5300
16   51.9747    0      0      56      5600
17   17.5559    0      0      46      4600
18   1.56525    0      0      39      3900
19   34.3286    0      0      47      4700
20   66.0824    0      0      53      5300
21   47.4195    6.6      0.066      66      0
22   20.3843    0      0      38      3800
23   72.3747    0      0      31      3100
24   58.3483    0      0      45      4500
25   51.1767    0      0      53      5300
26   8.16333    0      0      37      3700
27   65.8149    0      0      32      3200
28   10.0225    0      0      25      2500
29   51.3869    6.8      0.068      68      0
30   55.5828    0      0      47      4700
31   52.8766    0      0      37      3700
32   51.1    6.7      0.067      67      0
33   41.766    0      0      46      4600
34   39.2562    0      0      55      5500
35   46.9366    6.9      0.069      69      0
36   32.9    6      0.06      60      0
37   47.9334    0      0      44      4400
38   25.9    0      0      50      5000
39   48.6236    0      0      41      4100
40   50.8838    0      0      45      4500
41   37.8583    0      0      40      4000
42   19.8114    0      0      26      2600
43   32.7283    5.9      0.00842857      59      0
44   46.3324    0      0      52      5200
45   55.7545    0      0      49      4900
46   54.4472    0      0      41      4100
47   51.1767    0      0      57      5700
48   50.5214    7.4      0.074      74      0
49   35.2024    0      0      41      4100
50   35.4244    0      0      41      4100
51   31.258    0      0      44      4400
52   33.6073    0      0      56      5600
53   53.4068    0      0      48      4800
54   65.6696    6.9      0.069      69      0
55   45.2408    0      0      54      5400
56   47.404    6.6      0.066      66      0
57   50.0879    0      0      47      4700
58   18.3742    0      0      53      5300
59   61.9213    0      0      44      4400
60   39.8016    0      0      36      3600
61   64.5368    0      0      52      5200
62   44.9365    6.2      0.062      62      0
63   39.3559    6.2      0.062      62      0
64   14    0      0      56      5600
65   13.0208    6.1      0.061      61      0
66   34.5774    0      0      52      5200
67   68.0298    0      0      49      4900
68   28    0      0      46      4600
69   68.8175    0      0      43      4300
70   63.0971    0      0      53      5300
71   38.6588    0      0      47      4700
72   65.2616    0      0      44      4400
73   31.5078    0      0      51      5100
74   44.4541    0      0      40      4000
75   47.5846    0      0      40      4000
76   28.3219    0      0      49      4900
77   57.1433    0      0      51      5100
78   47.7696    0      0      56      5600
79   24.6197    0      0      40      4000
80   33.7165    0      0      51      5100
81   42.1456    0      0      47      4700
-------------------------当前BBU0----------------------------------
-------------------------当前BBU1----------------------------------
-------------------------当前BBU2----------------------------------
-------------------------当前BBU3----------------------------------
82   16.8582    0      0      35      3500
83   67.6252    5.5      0.055      55      0
84   51.8756    0      0      49      4900
85   44.1222    0      0      49      4900
86   31.305    0      0      37      3700
87   18.2538    0      0      42      4200
88   25.672    6.2      0.062      62      0
89   20.4083    0      0      42      4200
90   44.4707    0      0      48      4800
91   56.7389    0      0      49      4900
92   37.6962    5.9      0.059      59      0
93   53.5397    5.4      0.054      54      0
94   46.4591    0      0      38      3800
95   11.9    0      0      30      3000
96   54.0951    0      0      38      3800
97   15.3522    0      0      53      5300
98   53.3655    0      0      36      3600
99   34.7541    6.2      0.062      62      0
100   62.1109    6.3      0.063      63      0
101   46.2689    0      0      47      4700
102   25.6338    0      0      43      4300
103   50.5941    0      0      33      3300
104   59.43    6.1      0.061      61      0
105   50.7102    0      0      47      4700
106   48.061    0      0      36      3600
107   20.6708    0      0      53      5300
108   65.0398    5.6      0.056      56      0
109   40.8886    0      0      52      5200
110   42.9802    7.6      0.076      76      0
111   46.7273    6      0.06      60      0
112   37.4156    5.5      0.055      55      0
113   42.1456    5.6      0.056      56      0
114   42.7229    0      0      45      4500
115   38.0841    6.4      0.064      64      0
116   25.5476    0      0      44      4400
117   45.3436    0      0      49      4900
118   63.0194    0      0      35      3500
119   40.9664    0      0      33      3300
120   50.4194    0      0      35      3500
121   56.4618    5.4      0.0308571      54      0
122   43.1793    0      0      32      3200
123   14.1739    0      0      9      900
-------------------------当前BBU4----------------------------------
-------------------------当前BBU5----------------------------------
-------------------------当前BBU6----------------------------------
-------------------------当前BBU7----------------------------------
-------------------------当前BBU8----------------------------------
-------------------------当前TTI1----------------------------------
Id 距离     平均吞吐量     总比特数      速度      优先级
1   28.7767    0      0      57      5700
2   48.7494    0      0      38      3800
3   25.9756    0      0      41      4100
4   60.3991    6.1      0.061      61      0
5   48.462    0      0      48      4800
6   64.1752    6.3      0.063      63      0
7   50.5747    0      0      58      5800
8   36.7283    0      0      28      2800
9   66.3931    0      0      53      5300
10   35.837    0      0      55      5500
11   23.5308    0      0      37      3700
12   58.7541    6.1      0.061      61      0
13   46.7273    5.85      0.065      45      692
14   23.2691    0      0      41      4100
15   45.192    0      0      56      5600
16   51.9747    0      0      47      4700
17   17.5559    6.1      0.061      61      0
18   1.56525    0      0      49      4900
19   34.3286    0      0      53      5300
20   66.0824    6      0.06      60      0
21   47.4195    5.94      0.066      36      545
22   20.3843    0      0      39      3900
23   72.3747    0      0      45      4500
24   58.3483    0      0      54      5400
25   51.1767    0      0      50      5000
26   8.16333    0      0      50      5000
27   65.8149    0      0      57      5700
28   10.0225    0      0      46      4600
29   51.3869    6.12      0.068      46      676
30   55.5828    0      0      55      5500
31   52.8766    0      0      51      5100
32   51.1    6.03      0.067      37      552
33   41.766    6.6      0.066      66      0
34   39.2562    0      0      51      5100
35   46.9366    6.21      0.069      55      797
36   32.9    5.4      0.06      28      466
37   47.9334    0      0      42      4200
38   25.9    0      0      49      4900
39   48.6236    0      0      31      3100
40   50.8838    0      0      35      3500
41   37.8583    0      0      44      4400
42   19.8114    0      0      0      0
43   32.7283    5.31      0.00842857      60      1016
44   46.3324    0      0      41      4100
45   55.7545    0      0      55      5500
46   54.4472    6.5      0.065      65      0
47   51.1767    0      0      42      4200
48   50.5214    6.66      0.074      39      527
49   35.2024    0      0      51      5100
50   35.4244    6.5      0.065      65      0
51   31.258    0      0      52      5200
52   33.6073    0      0      39      3900
53   53.4068    0      0      47      4700
54   65.6696    6.21      0.069      39      565
55   45.2408    0      0      52      5200
56   47.404    5.94      0.066      66      1000
57   50.0879    0      0      56      5600
58   18.3742    0      0      49      4900
59   61.9213    6.4      0.064      64      0
60   39.8016    7.2      0.072      72      0
61   64.5368    0      0      51      5100
62   44.9365    5.58      0.062      49      790
63   39.3559    5.58      0.062      51      822
64   14    0      0      54      5400
65   13.0208    5.49      0.061      50      819
66   34.5774    5.9      0.0252857      59      0
67   68.0298    0      0      35      3500
68   28    0      0      46      4600
69   68.8175    0      0      52      5200
70   63.0971    6.6      0.066      66      0
71   38.6588    6.4      0.064      64      0
72   65.2616    0      0      58      5800
73   31.5078    0      0      48      4800
74   44.4541    0      0      39      3900
75   47.5846    0      0      44      4400
76   28.3219    0      0      34      3400
77   57.1433    0      0      43      4300
78   47.7696    0      0      37      3700
79   24.6197    5.9      0      59      0
80   33.7165    0      0      53      5300
81   42.1456    0      0      35      3500
-------------------------当前BBU0----------------------------------
-------------------------当前BBU1----------------------------------
-------------------------当前BBU2----------------------------------
-------------------------当前BBU3----------------------------------
82   16.8582    5.7      0.057      57      0
83   67.6252    4.95      0.055      47      854
84   51.8756    5.6      0.056      56      0
85   44.1222    5.1      0.051      51      0
86   31.305    0      0      44      4400
87   18.2538    5.1      0.051      51      0
88   25.672    5.58      0.062      53      854
89   20.4083    0      0      31      3100
90   44.4707    6.4      0.064      64      0
91   56.7389    5      0.0416667      50      0
92   37.6962    5.31      0.059      47      796
93   53.5397    4.86      0.054      61      1129
94   46.4591    0      0      43      4300
95   11.9    0      0      40      4000
96   54.0951    0      0      45      4500
97   15.3522    6.9      0.069      69      0
98   53.3655    6.2      0.062      62      0
99   34.7541    5.58      0.062      37      596
100   62.1109    5.67      0.063      38      603
101   46.2689    5.2      0.052      52      0
102   25.6338    5.7      0.057      57      0
103   50.5941    0      0      40      4000
104   59.43    5.49      0.061      49      803
105   50.7102    0      0      47      4700
106   48.061    5      0      50      0
107   20.6708    5.1      0.051      51      0
108   65.0398    5.04      0.056      53      946
109   40.8886    0      0      47      4700
110   42.9802    6.84      0.076      53      697
111   46.7273    5.4      0.06      44      733
112   37.4156    4.95      0.055      53      963
113   42.1456    5.04      0.056      50      892
114   42.7229    0      0      35      3500
115   38.0841    5.76      0.064      49      765
116   25.5476    5.2      0.052      52      0
117   45.3436    6.8      0.068      68      0
118   63.0194    0      0      45      4500
119   40.9664    5.6      0.056      56      0
120   50.4194    5.1      0.051      51      0
121   56.4618    4.86      0.0308571      32      592
122   43.1793    0      0      0      0
123   14.1739    0      0      0      0
-------------------------当前BBU4----------------------------------
-------------------------当前BBU5----------------------------------
-------------------------当前BBU6----------------------------------
-------------------------当前BBU7----------------------------------
-------------------------当前BBU8----------------------------------
-------------------------当前TTI2----------------------------------
Id 距离     平均吞吐量     总比特数      速度      优先级
1   28.7767    0      0      54      5400
2   48.7494    7.4      0.074      74      0
3   25.9756    0      0      35      3500
4   60.3991    5.49      0.061      34      557
5   48.462    0      0      47      4700
6   64.1752    5.67      0.063      52      825
7   50.5747    0      0      53      5300
8   36.7283    6.8      0.068      68      0
9   66.3931    0      0      27      2700
10   35.837    0      0      31      3100
11   23.5308    0      0      50      5000
12   58.7541    5.49      0.061      42      688
13   46.7273    5.265      0.065      33      564
14   23.2691    0      0      50      5000
15   45.192    6.2      0.062      62      0
16   51.9747    5.8      0.058      58      0
17   17.5559    5.49      0.061      48      786
18   1.56525    0      0      51      5100
19   34.3286    0      0      44      4400
20   66.0824    5.4      0.06      45      750
21   47.4195    5.346      0.066      45      757
22   20.3843    0      0      39      3900
23   72.3747    0      0      48      4800
24   58.3483    0      0      44      4400
25   51.1767    0      0      36      3600
26   8.16333    6.4      0.064      64      0
27   65.8149    0      0      53      5300
28   10.0225    0      0      48      4800
29   51.3869    5.508      0.068      37      604
30   55.5828    6.9      0.069      69      0
31   52.8766    5.5      0.0235714      55      0
