-------------------------当前TTI0----------------------------------
Id 距离     平均吞吐量     总比特数      速度      优先级
1   28.7767    5.7      0.057      57      9920
2   48.7494    5.6      0.056      56      9921
3   25.9756    4.5      0.045      45      9922
4   60.3991    4.2      0.042      42      9923
5   48.462    4.5      0.045      45      9924
6   64.1752    3.7      0.037      37      9925
7   50.5747    4.7      0.047      47      9926
8   36.7283    5.7      0.057      57      9927
9   66.3931    5.2      0.052      52      9928
10   35.837    4.2      0.042      42      9929
11   23.5308    3.5      0.035      35      9930
12   58.7541    4.1      0.041      41      9931
13   46.7273    6.5      0.065      65      9932
14   23.2691    4      0.04      40      9933
15   45.192    5.3      0.053      53      9934
16   51.9747    5.6      0.056      56      9935
17   17.5559    4.6      0.0092      46      9936
18   1.56525    3.9      0      39      9937
19   34.3286    4.7      0      47      9938
20   66.0824    5.3      0      53      9939
21   47.4195    6.6      0      66      9940
22   20.3843    3.8      0      38      9941
23   72.3747    3.1      0      31      9942
24   58.3483    4.5      0      45      9943
25   51.1767    5.3      0      53      9944
26   8.16333    3.7      0      37      9945
27   65.8149    3.2      0      32      9946
28   10.0225    2.5      0      25      9947
29   51.3869    6.8      0      68      9948
30   55.5828    4.7      0      47      9949
31   52.8766    3.7      0      37      9950
32   51.1    6.7      0      67      9951
33   41.766    4.6      0      46      9952
34   39.2562    5.5      0      55      9953
35   46.9366    6.9      0      69      9954
36   32.9    6      0      60      9955
37   47.9334    4.4      0      44      9956
38   25.9    5      0      50      9957
39   48.6236    4.1      0      41      9958
40   50.8838    4.5      0      45      9959
41   37.8583    4      0      40      9960
42   19.8114    2.6      0      26      9961
43   32.7283    5.9      0      59      9962
44   46.3324    5.2      0      52      9963
45   55.7545    4.9      0      49      9964
46   54.4472    4.1      0      41      9965
47   51.1767    5.7      0      57      9966
48   50.5214    7.4      0      74      9967
49   35.2024    4.1      0      41      9968
50   35.4244    4.1      0      41      9969
51   31.258    4.4      0      44      9970
52   33.6073    5.6      0      56      9971
53   53.4068    4.8      0      48      9972
54   65.6696    6.9      0      69      9973
55   45.2408    5.4      0      54      9974
56   47.404    6.6      0      66      9975
57   50.0879    4.7      0      47      9976
58   18.3742    5.3      0      53      9977
59   61.9213    4.4      0      44      9978
60   39.8016    3.6      0      36      9979
61   64.5368    5.2      0      52      9980
62   44.9365    6.2      0      62      9981
63   39.3559    6.2      0      62      9982
64   14    5.6      0      56      9983
65   13.0208    6.1      0      61      9984
66   34.5774    5.2      0      52      9985
67   68.0298    4.9      0      49      9986
68   28    4.6      0      46      9987
69   68.8175    4.3      0      43      9988
70   63.0971    5.3      0      53      9989
71   38.6588    4.7      0      47      9990
72   65.2616    4.4      0      44      9991
73   31.5078    5.1      0      51      9992
74   44.4541    4      0      40      9993
75   47.5846    4      0      40      9994
76   28.3219    4.9      0      49      9995
